id	id_label
MONDO:0008347	idiopathic and/or familial pulmonary arterial hypertension
MONDO:0008406	autosomal recessive Emery-Dreifuss muscular dystrophy
MONDO:0009043	generalized resistance to thyroid hormone
MONDO:0013742	familial mesial temporal lobe epilepsy with febrile seizures
MONDO:0015077	adrenal/paraganglial tumor
MONDO:0015083	nuclear oculomotor paralysis
MONDO:0015087	autosomal dominant complex spastic paraplegia
MONDO:0015088	autosomal dominant pure spastic paraplegia
MONDO:0015089	autosomal recessive complex spastic paraplegia
MONDO:0015090	autosomal recessive pure spastic paraplegia
MONDO:0015110	genetic cardiac rhythm disease
MONDO:0015111	gastroesophageal disease
MONDO:0015126	polyendocrinopathy
MONDO:0015132	immunodeficiency predominantly affecting antibody production
MONDO:0015133	quantitative and/or qualitative congenital phagocyte defect
MONDO:0015135	primary immunodeficiency due to a genetic defect in innate immunity
MONDO:0015141	disorder of medulla oblongata
MONDO:0015144	brain inflammatory disease
MONDO:0015145	neurovascular malformation
MONDO:0015148	lissencephaly type 3
MONDO:0015157	human herpesvirus 8-related tumor
MONDO:0015159	multiple congenital anomalies/dysmorphic syndrome-intellectual disability
MONDO:0015160	multiple congenital anomalies/dysmorphic syndrome-variable intellectual disability syndrome
MONDO:0015161	multiple congenital anomalies/dysmorphic syndrome without intellectual disability
MONDO:0015178	congenital intestinal transport defect
MONDO:0015179	intestinal disease due to vitamin absorption anomaly
MONDO:0015180	intestinal disease due to fat malabsorption
MONDO:0015182	congenital enteropathy involving intestinal mucosa development
MONDO:0015204	microlissencephaly
MONDO:0015207	non-syndromic esophageal malformation
MONDO:0015208	syndromic esophageal malformation
MONDO:0015209	non-syndromic gastroduodenal malformation
MONDO:0015210	syndromic gastroduodenal malformation
MONDO:0015211	non-syndromic intestinal malformation
MONDO:0015212	syndromic intestinal malformation
MONDO:0015213	non-syndromic visceral malformation
MONDO:0015214	syndromic visceral malformation
MONDO:0015215	non-syndromic diaphragmatic or abdominal wall malformation
MONDO:0015216	syndromic diaphragmatic or abdominal wall malformation
MONDO:0015217	non-syndromic developmental defect of the eye
MONDO:0015219	non-syndromic central nervous system malformation
MONDO:0015221	non-syndromic respiratory or mediastinal malformation
MONDO:0015222	syndromic respiratory or mediastinal malformation
MONDO:0015227	non-syndromic limb malformation
MONDO:0015246	syndromic anorectal malformation
MONDO:0015323	teratogenic Pierre Robin syndrome
MONDO:0015327	developmental anomaly of metabolic origin
MONDO:0015330	overgrowth/obesity syndrome
MONDO:0015333	progeroid syndrome
MONDO:0015334	branchial arch or oral-acral syndrome
MONDO:0015335	orofacial clefting syndrome
MONDO:0015337	isolated craniosynostosis
MONDO:0015338	syndromic craniosynostosis
MONDO:0015359	autosomal dominant hereditary demyelinating motor and sensory neuropathy
MONDO:0015360	autosomal dominant hereditary axonal motor and sensory neuropathy
MONDO:0015361	autosomal recessive hereditary demyelinating motor and sensory neuropathy
MONDO:0015365	autosomal dominant hereditary sensory and autonomic neuropathy
MONDO:0015366	autosomal recessive hereditary sensory and autonomic neuropathy
MONDO:0015368	neuro-ophthalmological disease
MONDO:0015369	Joubert syndrome and related disorders
MONDO:0015385	external auditory canal aplasia/hypoplasia
MONDO:0015412	median facial cleft
MONDO:0015415	oblique facial cleft
MONDO:0015418	lateral facial cleft
MONDO:0015476	cysts and fistulae of the face and oral cavity
MONDO:0015482	otomandibular dysplasia
MONDO:0015485	primary hereditary glaucoma
MONDO:0015488	predominantly large-vessel vasculitis
MONDO:0015489	predominantly medium-vessel vasculitis
MONDO:0015490	predominantly small-vessel vasculitis
MONDO:0015491	immune complex mediated vasculitis
MONDO:0015494	isolated dystonia
MONDO:0015497	hypoglossia/aglossia
MONDO:0015498	oromandibular-limb anomalies syndrome
MONDO:0015499	paralytic facial malformation
MONDO:0015503	nose and cavum anomaly
MONDO:0015504	larynx anomaly
MONDO:0015505	tracheal anomaly
MONDO:0015508	genetic parenchymatous liver disease
MONDO:0015509	genetic biliary tract disease
MONDO:0015512	genetic hypertension
MONDO:0015547	genetic dementia
MONDO:0015586	benign familial mesial temporal lobe epilepsy
MONDO:0015587	rolandic epilepsy-speech dyspraxia syndrome
MONDO:0015617	genetic gastro-esophageal disease
MONDO:0015619	non-syndromic urogenital tract malformation
MONDO:0015620	syndromic urogenital tract malformation
MONDO:0015624	diazoxide-sensitive diffuse hyperinsulinism
MONDO:0015642	benign partial infantile seizures
MONDO:0015650	epilepsy syndrome
MONDO:0015653	monogenic epilepsy
MONDO:0015668	hereditary dentin defect
MONDO:0015679	autosomal thrombocytopenia with normal platelets
MONDO:0015699	immunodeficiency due to a classical component pathway complement deficiency
MONDO:0015700	immunodeficiency due to a late component of complement deficiency
MONDO:0015703	T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta
MONDO:0015756	myeloid hemopathy
MONDO:0015757	lymphoid hemopathy
MONDO:0015765	congenital myopathy with cores
MONDO:0015775	non-rhizomelic chondrodysplasia punctata
MONDO:0015778	syndromic hypothyroidism
MONDO:0015816	indolent primary cutaneous T-cell lymphoma
MONDO:0015821	mycosis fungoides and variants
MONDO:0015822	acquired neutropenia
MONDO:0015823	primary immunodeficiency due to a defect in adaptive immunity
MONDO:0015828	uterovaginal malformation
MONDO:0015830	partial bilateral aplasia of the mullerian ducts
MONDO:0015846	syndromic uterovaginal malformation
MONDO:0015852	excess breast volume or number
MONDO:0015853	deficient breast volume or number
MONDO:0015856	syndromic breast hypoplasia/aplasia
MONDO:0015860	anomaly of puberty or/and menstrual cycle
MONDO:0015884	autosomal dominant hypohidrotic ectodermal dysplasia
MONDO:0015902	major hypertriglyceridemia
MONDO:0015915	cerebellar malformation
MONDO:0015923	acquired peripheral neuropathy
MONDO:0015929	thoracic malformation
MONDO:0015930	respiratory malformation
MONDO:0015933	non-syndromic urogenital tract malformation of male
MONDO:0015934	non-syndromic urogenital tract malformation of male and female
MONDO:0015950	inherited skin tumor
MONDO:0015951	hereditary photodermatosis
MONDO:0015961	genetic head and neck malformation
MONDO:0015962	inherited renal tubular disease
MONDO:0015975	hyper-IgM syndrome with susceptibility to opportunistic infections
MONDO:0015976	hyper-IgM syndrome without susceptibility to opportunistic infections
MONDO:0015979	hereditary predisposition to infections
MONDO:0016034	cleft lip with or without cleft palate
MONDO:0016046	familial clubfoot with or without associated lower limb anomalies
MONDO:0016054	cerebral malformation
MONDO:0016072	anomaly of puberty or/and menstrual cycle of genetic origin
MONDO:0016105	acquired skeletal muscle disease
MONDO:0016108	autosomal dominant distal myopathy
MONDO:0016109	autosomal recessive distal myopathy
MONDO:0016115	bulbospinal muscular atrophy of adulthood
MONDO:0016116	generalized bulbospinal muscular atrophy
MONDO:0016121	congenital myotonia
MONDO:0016123	muscular tumor
MONDO:0016139	qualitative or quantitative protein defects in neuromuscular diseases
MONDO:0016141	qualitative or quantitative defects of alpha-sarcoglycan
MONDO:0016143	qualitative or quantitative defects of gamma-sarcoglycan
MONDO:0016147	qualitative or quantitative defects of dystrophin
MONDO:0016149	qualitative or quantitative defects of merosin
MONDO:0016150	qualitative or quantitative defects of integrin alpha-7
MONDO:0016151	qualitative or quantitative defects of perlecan
MONDO:0016152	qualitative or quantitative defects of calpain
MONDO:0016153	qualitative or quantitative defects of TRIM32
MONDO:0016155	qualitative or quantitative defects of protein involved in O-glycosylation of alpha-dystroglycan
MONDO:0016156	qualitative or quantitative defects of FKRP
MONDO:0016157	qualitative or quantitative defects of fukutin
MONDO:0016160	X-linked intellectual disability-epilepsy syndrome
MONDO:0016163	autosomal dominant cerebellar ataxia type II
MONDO:0016165	genetic hypoparathyroidism
MONDO:0016179	acquired amyloid peripheral neuropathy
MONDO:0016182	qualitative or quantitative defects of protein O-mannose beta1, 2N-acetylglucosaminyltransferase
MONDO:0016184	qualitative or quantitative defects of protein O-mannosyltransferase 1
MONDO:0016185	qualitative or quantitative defects of protein O-mannosyltransferase 2
MONDO:0016186	qualitative or quantitative defects of myofibrillar proteins
MONDO:0016187	qualitative or quantitative defects of desmin
MONDO:0016188	qualitative or quantitative defects of alphaB-cristallin
MONDO:0016189	qualitative or quantitative defects of filamin C
MONDO:0016190	qualitative or quantitative defects of protein ZASP
MONDO:0016191	qualitative or quantitative defects of titin
MONDO:0016192	qualitative or quantitative defects of telethonin
MONDO:0016193	qualitative or quantitative defects of alpha-actin
MONDO:0016194	qualitative or quantitative defects of nebulin
MONDO:0016195	qualitative or quantitative defects of beta-myosin heavy chain (MYH7)
MONDO:0016196	qualitative or quantitative defects of emerin
MONDO:0016197	qualitative or quantitative defects of selenoprotein N1
MONDO:0016198	qualitative or quantitative defects of plectin
MONDO:0016199	qualitative or quantitative defects of protein SERCA1
MONDO:0016200	qualitative or quantitative defects of glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase
MONDO:0016201	qualitative or quantitative defects of myotilin
MONDO:0016224	autosomal dominant proximal spinal muscular atrophy
MONDO:0016229	genetic vascular anomaly
MONDO:0016230	simple vascular malformation
MONDO:0016330	non-familial hypertrophic cardiomyopathy
MONDO:0016352	idiopathic inherited hypercalciuria
MONDO:0016361	isolated hereditary giant platelet disorder
MONDO:0016375	acquired peripheral movement disorder
MONDO:0016382	hereditary poikiloderma
MONDO:0016387	mitochondrial oxidative phosphorylation disorder
MONDO:0016408	permanent congenital hypothyroidism
MONDO:0016409	primary congenital hypothyroidism
MONDO:0016412	peripheral hypothyroidism
MONDO:0016428	multiple sclerosis variant
MONDO:0016432	heart-hand syndrome
MONDO:0016518	isolated punctate palmoplantar keratoderma
MONDO:0016520	isolated Klippel-Feil syndrome
MONDO:0016524	congenital vascular bone syndrome
MONDO:0016536	autosomal recessive lymphoproliferative disease
MONDO:0016540	congenital secondary polycythemia
MONDO:0016555	transient congenital hypothyroidism due to maternal factor
MONDO:0016565	syndromic genetic obesity
MONDO:0016579	dominant hypophosphatemia with nephrolithiasis or osteoporosis
MONDO:0016589	progressive cerebello-cerebral atrophy
MONDO:0016599	autosomal dominant secondary polycythemia
MONDO:0016624	inherited deficiency anemia
MONDO:0016647	autosomal recessive Stickler syndrome
MONDO:0016678	maternal disease-related embryofetopathy
MONDO:0016697	low grade ependymoma
MONDO:0016708	embryonal tumor of neuroepithelial tissue
MONDO:0016738	primary germ cell tumor of central nervous system
MONDO:0016752	benign peripheral nerve sheath tumor
MONDO:0016756	inherited nervous system cancer-predisposing syndrome
MONDO:0016789	pyruvate metabolism disorder
MONDO:0016790	tricarboxylic acid cycle disorder
MONDO:0016794	maternally-inherited mitochondrial myopathy
MONDO:0016796	mitochondrial DNA depletion syndrome, encephalomyopathic form
MONDO:0016797	multiple mitochondrial DNA deletion syndrome
MONDO:0016800	mitochondrial membrane transport disorder
MONDO:0016801	mitochondrial substrate carrier disorder
MONDO:0016803	unspecified inborn mitochondrial disorder
MONDO:0016805	isolated oxidative phosphorylation complex disorder
MONDO:0016815	Leigh syndrome with leukodystrophy
MONDO:0016816	Leigh syndrome with nephrotic syndrome
MONDO:0016866	partial deletion of chromosome 1
MONDO:0016867	partial deletion of chromosome 2
MONDO:0016868	partial deletion of chromosome 3
MONDO:0016869	partial deletion of chromosome 4
MONDO:0016870	partial deletion of chromosome 5
MONDO:0016871	partial deletion of chromosome 6
MONDO:0016872	partial deletion of chromosome 7
MONDO:0016873	partial deletion of chromosome 8
MONDO:0016874	partial deletion of chromosome 9
MONDO:0016875	partial deletion of chromosome 10
MONDO:0016876	partial deletion of chromosome 11
MONDO:0016878	partial deletion of chromosome 16
MONDO:0016879	partial deletion of chromosome 17
MONDO:0016880	partial deletion of chromosome 18
MONDO:0016881	partial deletion of chromosome 19
MONDO:0016882	partial deletion of chromosome 20
MONDO:0016884	partial deletion of the short arm of chromosome 2
MONDO:0016885	partial deletion of the short arm of chromosome 3
MONDO:0016887	partial deletion of the short arm of chromosome 5
MONDO:0016888	partial deletion of the short arm of chromosome 6
MONDO:0016892	partial deletion of the short arm of chromosome 10
MONDO:0016893	partial deletion of the short arm of chromosome 11
MONDO:0016894	partial deletion of the short arm of chromosome 16
MONDO:0016897	partial deletion of the short arm of chromosome 19
MONDO:0016899	Duchenne and Becker muscular dystrophy
MONDO:0016902	partial deletion of the long arm of chromosome 3
MONDO:0016904	partial deletion of the long arm of chromosome 5
MONDO:0016908	partial monosomy of the long arm of chromosome 9
MONDO:0016909	partial monosomy of the long arm of chromosome 10
MONDO:0016914	partial deletion of the long arm of chromosome 16
MONDO:0016915	partial deletion of the long arm of chromosome 17
MONDO:0016917	partial deletion of the long arm of chromosome 19
MONDO:0016925	partial trisomy/tetrasomy of chromosome 5
MONDO:0016933	partial trisomy/tetrasomy of the short arm of chromosome 12
MONDO:0016936	partial trisomy/tetrasomy of chromosome 18
MONDO:0016942	partial trisomy/tetrasomy of the short arm of chromosome 5
MONDO:0016950	partial duplication of the short arm of chromosome 17
MONDO:0016951	partial trisomy/tetrasomy of the short arm of chromosome 18
MONDO:0016961	partial duplication of the long arm of chromosome 10
MONDO:0016972	partial duplication of the long arm of chromosome 22
MONDO:0016980	ATR-X-related syndrome
MONDO:0017003	partial deletion of chromosome X
MONDO:0017004	partial monosomy of the short arm of chromosome X
MONDO:0017007	partial deletion of the long arm of chromosome X
MONDO:0017008	partial duplication of chromosome X
MONDO:0017012	partial duplication of the short arm of chromosome 1
MONDO:0017026	interstitial lung disease specific to adulthood
MONDO:0017027	primary interstitial lung disease specific to adulthood
MONDO:0017030	interstitial lung disease in childhood and adulthood
MONDO:0017031	primary interstitial lung disease in childhood and adulthood
MONDO:0017034	secondary interstitial lung disease in childhood and adulthood
MONDO:0017040	exposure-related interstitial lung disease
MONDO:0017049	hypomyelination neuropathy-arthrogryposis syndrome
MONDO:0017057	hereditary thrombocytopenia with normal platelets
MONDO:0017059	neural tube closure defect
MONDO:0017090	midline cerebral malformation
MONDO:0017103	encephaloclastic disorder
MONDO:0017104	central nervous system cystic malformation
MONDO:0017114	global cerebellar malformation
MONDO:0017127	inherited soft tissue tumor
MONDO:0017128	inherited digestive tract tumor
MONDO:0017129	inherited cardiac tumor
MONDO:0017131	genetic cardiac anomaly
MONDO:0017132	hereditary ATTR amyloidosis
MONDO:0017144	alpha-thalassemia and related diseases
MONDO:0017145	beta-thalassemia and related diseases
MONDO:0017146	sickle cell disease and related diseases
MONDO:0017173	non-syndromic male infertility due to sperm motility disorder
MONDO:0017234	inherited prion disease
MONDO:0017240	acrodysostosis with multiple hormone resistance
MONDO:0017241	AP4-related intellectual disability and spastic paraplegia
MONDO:0017262	inherited non-syndromic ichthyosis
MONDO:0017263	inherited ichthyosis syndromic form
MONDO:0017270	autosomal ichthyosis syndrome
MONDO:0017302	qualitative or quantitative defects of troponin
MONDO:0017303	qualitative or quantitative defects of tropomyosin
MONDO:0017310	Marfan and Marfan-related disorder
MONDO:0017313	disorder of folate metabolism and transport
MONDO:0017322	disorders of vitamin D metabolism
MONDO:0017339	exfoliative ichthyosis
MONDO:0017341	virus associated tumor
MONDO:0017342	Epstein-Barr virus-related tumor
MONDO:0017345	Epstein-Barr virus-associated mesenchymal tumor
MONDO:0017355	inborn disorder of proline metabolism
MONDO:0017396	toxic dermatosis
MONDO:0017397	constitutional dyserythropoietic anemia
MONDO:0017421	non-syndromic terminal limb defects
MONDO:0017422	adactyly of hand
MONDO:0017423	split hand or/and split foot malformation
MONDO:0017428	congenital deformities of fingers
MONDO:0017429	joint formation defects
MONDO:0017448	congenital absence/hypoplasia of fingers excluding thumb
MONDO:0017578	disorder of thiamine metabolism and transport
MONDO:0017581	familial infantile gigantism
MONDO:0017595	aggressive B-cell non-Hodgkin lymphoma
MONDO:0017626	familial primary hypomagnesemia with normocalcuria
MONDO:0017629	sodium channelopathy-related small fiber neuropathy
MONDO:0017651	primary myoclonus
MONDO:0017656	motor stereotypies
MONDO:0017667	isolated diffuse palmoplantar keratoderma
