id	id_label
MONDO:0017670	autosomal dominant diffuse mutilating palmoplantar keratoderma
MONDO:0017672	focal palmoplantar keratoderma
MONDO:0017673	isolated focal palmoplantar keratoderma
MONDO:0017676	marginal papular palmoplantar keratoderma
MONDO:0017686	inborn aminoacylase deficiency
MONDO:0017688	disorder of glycolysis
MONDO:0017703	disorder of glyoxylate metabolism
MONDO:0017706	disorder of carbohydrate transmembrane transport and absorption
MONDO:0017709	disorder of lipid absorption and transport
MONDO:0017713	disorder of fatty acid oxidation and ketogenesis
MONDO:0017716	disorder of carnitine cycle and carnitine transport
MONDO:0017727	fixed subaortic stenosis
MONDO:0017739	disorder of lysosomal-related organelles
MONDO:0017740	disorder of protein N-glycosylation
MONDO:0017741	disorder of protein O-glycosylation
MONDO:0017742	disorder of O-xylosylglycan synthesis
MONDO:0017744	disorder of O-xylosyl/N-acetylgalactosaminylglycan synthesis
MONDO:0017745	disorder of O-mannosylglycan synthesis
MONDO:0017747	disorder of fucoglycosan synthesis
MONDO:0017748	inborn disorder of glycosphingolipid and glycosylphosphatidylinositol anchor glycosylation
MONDO:0017749	disorder of multiple glycosylation
MONDO:0017750	defect in conserved oligomeric Golgi complex
MONDO:0017755	inborn disorder of bilirubin metabolism
MONDO:0017756	disorder of pterin metabolism
MONDO:0017757	disorder of metabolite absorption and transport
MONDO:0017758	disorder of vitamin and non-protein cofactor absorption and transport
MONDO:0017760	disorder of other vitamins and cofactors metabolism and transport
MONDO:0017765	disorder of magnesium transport
MONDO:0017766	disorder of manganese transport
MONDO:0017769	acquired immunodeficiency
MONDO:0017828	primary renal tubular acidosis
MONDO:0017847	autosomal recessive spastic ataxia
MONDO:0017855	T-B- severe combined immunodeficiency
MONDO:0017891	inherited renal cancer-predisposing syndrome
MONDO:0017912	X-linked pure spastic paraplegia
MONDO:0017913	pure or complex hereditary spastic paraplegia
MONDO:0017914	pure or complex autosomal dominant spastic paraplegia
MONDO:0017915	pure or complex autosomal recessive spastic paraplegia
MONDO:0017916	pure or complex X-linked spastic paraplegia
MONDO:0017922	deafness-onychodystrophy syndrome
MONDO:0017950	microcephalic primordial dwarfism
MONDO:0017954	pyogenic autoinflammatory syndrome
MONDO:0017955	granulomatous autoinflammatory syndrome
MONDO:0017961	46,XX disorder of gonadal development
MONDO:0017962	46,XX disorder of sex development induced by fetoplacental androgens excess
MONDO:0017966	46,XY disorder of gonadal development
MONDO:0017969	46,XY disorder of sex development of endocrine origin
MONDO:0017986	disorder of plasmalogens biosynthesis
MONDO:0018010	juvenile idiopathic inflammatory myopathy
MONDO:0018013	non-immunoglobulin-mediated membranoproliferative glomerulonephritis
MONDO:0018113	isolated plagiocephaly
MONDO:0018114	isolated brachycephaly
MONDO:0018117	disorder of phospholipids, sphingolipids and fatty acids biosynthesis
MONDO:0018134	disorder of melanin metabolism
MONDO:0018144	congenital myasthenic syndromes with glycosylation defect
MONDO:0018162	neurometabolic disorder due to serine deficiency
MONDO:0018185	congenital anomaly of the great veins
MONDO:0018187	genetic syndromic Pierre Robin syndrome
MONDO:0018188	genetic intestinal polyposis
MONDO:0018189	autosomal recessive cerebellar ataxia - pyramidal signs - nystagmus - oculomotor apraxia syndrome
MONDO:0018191	tumor of testis and paratestis
MONDO:0018202	gonadal germ cell tumor
MONDO:0018222	X-linked intellectual disability due to GRIA3 anomalies
MONDO:0018230	skeletal dysplasia
MONDO:0018239	aggrecan-related bone disorder
MONDO:0018240	TRPV4-related bone disorder
MONDO:0018241	primary short bowel syndrome
MONDO:0018262	fetal anticonvulsant syndrome
MONDO:0018282	qualitative or quantitative defects of alpha-dystroglycan
MONDO:0018292	congenital disorder of glycosylation-related bone disorder
MONDO:0018303	generalized isolated dystonia
MONDO:0018318	disorder of asparagine metabolism
MONDO:0018329	persistent combined dystonia
MONDO:0018337	severe neonatal lactic acidosis due to NFS1-ISD11 complex deficiency
MONDO:0018340	hereditary isolated aplastic anemia
MONDO:0018365	malignant non-epithelial tumor of ovary
MONDO:0018374	secondary avascular necrosis
MONDO:0018379	primary avascular necrosis
MONDO:0018383	osteonecrosis of genetic origin
MONDO:0018384	avascular necrosis of genetic origin
MONDO:0018385	osteochondrosis of genetic origin
MONDO:0018393	male infertility with azoospermia or oligozoospermia due to single gene mutation
MONDO:0018431	cold-induced sweating syndrome - hyperthermia spectrum
MONDO:0018438	eosinophilic gastrointestinal disease
MONDO:0018440	autosomal recessive distal renal tubular acidosis
MONDO:0018446	autosomal recessive cerebellar ataxia - epilepsy - intellectual disability syndrome
MONDO:0018451	X-linked distal hereditary motor neuropathy
MONDO:0018454	dysostosis of genetic origin
MONDO:0018496	ARX-related encephalopathy-brain malformation spectrum
MONDO:0018502	hereditary gastric cancer
MONDO:0018506	mesenchymal tumor of small intestine
MONDO:0018516	epithelial tumor of anal canal
MONDO:0018529	qualitative or quantitative defects of Torsin-1A-interacting protein 1
MONDO:0018532	adenocarcinoma of liver and intrahepatic biliary tract
MONDO:0018538	inherited digestive cancer-predisposing syndrome
MONDO:0018550	spastic paraplegia-optic atrophy-neuropathy and spastic paraplegia-optic atrophy-neuropathy-related disorder
MONDO:0018562	genetic otorhinolaryngological malformation
MONDO:0018574	intellectual disability-expressive aphasia-facial dysmorphism syndrome
MONDO:0018575	microcephalic primordial dwarfism-insulin resistance syndrome
MONDO:0018579	disorder of ketone body transport
MONDO:0018580	PURA-related severe neonatal hypotonia-seizures-encephalopathy syndrome
MONDO:0018605	disorders of pentose/polyol metabolism
MONDO:0018614	undetermined early-onset epileptic encephalopathy
MONDO:0018639	caudal regression-sirenomelia spectrum
MONDO:0018662	autosomal recessive brachyolmia
MONDO:0018681	neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-hip dysplasia syndrome
MONDO:0018701	congenital nemaline myopathy
MONDO:0018720	common cystic lymphatic malformation
MONDO:0018731	lethal multiple congenital anomalies/dysmorphic syndrome
MONDO:0018743	immune-mediated acquired neuromuscular junction disease
MONDO:0018751	genetic otorhinolaryngologic disease
MONDO:0018758	familial patent arterial duct
MONDO:0018760	DeSanto-Shinawi syndrome
MONDO:0018771	congenital anomaly of ventricular septum
MONDO:0018775	axonal hereditary motor and sensory neuropathy
MONDO:0018776	demyelinating hereditary motor and sensory neuropathy
MONDO:0018779	hypercontractile muscle stiffness syndrome
MONDO:0018782	type 1 interferonopathy
MONDO:0018788	COL4A1 or COL4A2-related cerebral small vessel disease
MONDO:0018791	Moyomoya angiopathy
MONDO:0018795	syndromic constitutional thrombocytopenia
MONDO:0018796	isolated constitutional thrombocytopenia
MONDO:0018814	non-SCID combined immunodeficiency
MONDO:0018831	HTRA1-related cerebral small vessel disease
MONDO:0018888	congenital cornea plana
MONDO:0018916	isolated anorectal malformation
MONDO:0019042	multiple congenital anomalies/dysmorphic syndrome
MONDO:0019044	tumor of hematopoietic and lymphoid tissues
MONDO:0019054	congenital limb malformation
MONDO:0019063	vascular anomaly
MONDO:0019126	intractable diarrhea of infancy
MONDO:0019138	bleeding diathesis due to a collagen receptor defect
MONDO:0019144	hereditary thrombophilia due to congenital protein S deficiency
MONDO:0019176	trichorhinophalangeal syndrome type I or III
MONDO:0019213	cerebral organic aciduria
MONDO:0019215	classic organic aciduria
MONDO:0019219	inborn disorder of neurotransmitter metabolism and transport
MONDO:0019220	inborn disorder of cobalamin metabolism and transport
MONDO:0019223	disorder of fatty acid and ketone body metabolism
MONDO:0019224	inborn disorder of gamma-aminobutyric acid metabolism
MONDO:0019225	disorder of gluconeogenesis
MONDO:0019226	glucose transport disorder
MONDO:0019227	inborn disorder of glycerol metabolism
MONDO:0019229	inborn disorder of ketolysis
MONDO:0019230	inborn disorder of ornithine or proline metabolism
MONDO:0019231	inborn disorder of pentose phosphate metabolism
MONDO:0019232	inborn disorder of peptide metabolism
MONDO:0019235	inborn disorder of phenylalanine and tyrosine metabolism
MONDO:0019237	inborn disorder of pyridoxine metabolism
MONDO:0019239	inborn disorder of serine family metabolism
MONDO:0019240	sterol biosynthesis disorder
MONDO:0019243	inborn disorder of energy metabolism
MONDO:0019246	inborn disorder of lysosomal amino acid transport
MONDO:0019250	inborn disorder of biogenic amine metabolism and transport
MONDO:0019251	oligosaccharidosis
MONDO:0019253	metabolic disease involving other neurotransmitter deficiency
MONDO:0019256	sterol metabolism disorder
MONDO:0019268	epidermal disease
MONDO:0019271	acrokeratoderma
MONDO:0019277	epidermal appendage anomaly
MONDO:0019278	hair anomaly
MONDO:0019281	isolated genetic hair shaft abnormality
MONDO:0019286	sebaceous gland anomaly
MONDO:0019292	dermis elastic tissue disorder
MONDO:0019294	mixed dermis disorder
MONDO:0019296	subcutaneous tissue disorder
MONDO:0019486	myoclonic epilepsy of infancy
MONDO:0019513	esophageal malformation
MONDO:0019520	syndromic lymphedema
MONDO:0019541	non-infectious posterior uveitis
MONDO:0019573	autosomal recessive cutis laxa type 2
MONDO:0019593	46,XX disorder of sex development induced by fetal androgens excess
MONDO:0019597	46,XY disorder of sex development due to isolated 17,20-lyase deficiency
MONDO:0019599	primary lipodystrophy
MONDO:0019685	FGFR3-related chondrodysplasia
MONDO:0019688	sulfation-related bone disorder
MONDO:0019689	perlecan-related bone disorder
MONDO:0019690	filamin-related bone disorder
MONDO:0019692	multiple epiphyseal dysplasia and pseudoachondroplasia
MONDO:0019693	multiple metaphyseal dysplasia
MONDO:0019694	spondylodysplastic dysplasia
MONDO:0019695	acromelic dysplasia
MONDO:0019697	mesomelic and rhizo-mesomelic dysplasia
MONDO:0019699	slender bone dysplasia
MONDO:0019707	primary osteolysis
MONDO:0019712	patellar dysostosis
MONDO:0019713	non-syndromic limb reduction defect
MONDO:0019714	non-syndromic polydactyly, syndactyly and/or hyperphalangy
MONDO:0019718	lethal chondrodysplasia
MONDO:0019720	non-syndromic renal or urinary tract malformation
MONDO:0019723	disease of glomerular basement membrane
MONDO:0019724	secondary glomerular disease
MONDO:0019741	familial cystic renal disease
MONDO:0019743	nephropathy secondary to a storage or other metabolic disease
MONDO:0019792	autosomal dominant cerebellar ataxia type I
MONDO:0019793	autosomal dominant cerebellar ataxia type III
MONDO:0019794	autosomal dominant cerebellar ataxia type IV
MONDO:0019800	chronic hepatic porphyria
MONDO:0019820	univentricular cardiopathy
MONDO:0019822	arterial duct anomaly
MONDO:0019844	pituitary hormone deficiency secondary to storage disease
MONDO:0019998	gastroduodenal malformation
MONDO:0019999	intestinal malformation
MONDO:0020001	respiratory or thoracic malformation
MONDO:0020018	cranial malformation
MONDO:0020019	digestive tract malformation
MONDO:0020020	visceral malformation of the liver, biliary tract, pancreas or spleen
MONDO:0020021	diaphragmatic or abdominal wall malformation
MONDO:0020023	respiratory or mediastinal malformation
MONDO:0020039	46,XX disorder of sex development induced by androgens excess
MONDO:0020043	autosomal recessive congenital cerebellar ataxia
MONDO:0020044	autosomal recessive metabolic cerebellar ataxia
MONDO:0020046	autosomal recessive degenerative and progressive cerebellar ataxia
MONDO:0020047	autosomal recessive syndromic cerebellar ataxia
MONDO:0020049	autosomal anomaly
MONDO:0020065	combined dystonia
MONDO:0020069	chronic encephalitis
MONDO:0020070	neonatal epilepsy syndrome
MONDO:0020071	infantile epilepsy syndrome
MONDO:0020072	childhood-onset epilepsy syndrome
MONDO:0020073	adolescent-onset epilepsy syndrome
MONDO:0020075	genetic non-syndromic obesity
MONDO:0020093	autosomal dominant isolated diffuse palmoplantar keratoderma
MONDO:0020096	autosomal recessive isolated diffuse palmoplantar keratoderma
MONDO:0020117	alpha granule disease
MONDO:0020118	dense granule disease
MONDO:0020125	acquired neuromuscular junction disease
MONDO:0020127	genetic peripheral neuropathy
MONDO:0020129	acquired motor neuron disease
MONDO:0020130	malformation of the cerebellar vermis
MONDO:0020132	cranial nerve and nuclear aplasia
MONDO:0020133	posterior fossa malformation
MONDO:0020144	cerebrovascular dementia
MONDO:0020145	developmental defect of the eye
MONDO:0020146	major induction processes eye anomaly
MONDO:0020147	anophthalmia-microphthalmia syndrome
MONDO:0020148	syndromic aniridia
MONDO:0020154	microblepharon-ablephara syndrome
MONDO:0020155	eyelid border anomaly
MONDO:0020156	syndromic ankyloblepharon
MONDO:0020157	syndromic palpebral coloboma
MONDO:0020158	eyelids malposition disorder
MONDO:0020160	secondary entropion
MONDO:0020162	secondary ectropion
MONDO:0020163	canthal anomaly
MONDO:0020164	epicanthal fold
MONDO:0020165	syndromic epicanthus
MONDO:0020167	malposition of external canthus
MONDO:0020173	benign tumor of palpebral epidermis
MONDO:0020177	pigmented palpebral tumor
MONDO:0020180	palpebral piliary tumor
MONDO:0020193	secretory apparatus of the lacrimal system anomaly
MONDO:0020194	congenital alacrima
MONDO:0020195	excretory apparatus of the lacrimal system anomaly
MONDO:0020196	anomaly of the secretory and excretory apparatus of the lacrimal system
MONDO:0020197	EEC syndrome and related syndrome
MONDO:0020203	pigmented conjunctival lesion
MONDO:0020205	bulbar conjunctival dermoid or conjunctival dermolipoma
MONDO:0020210	syndromic hyperopia
MONDO:0020211	syndromic keratoconus
MONDO:0020215	syndromic corneal dystrophy
MONDO:0020216	secondary dysgenetic glaucoma
MONDO:0020219	corneogoniodysgenesis
MONDO:0020237	lens shape anomaly
MONDO:0020238	inherited vitreous-retinal disease
MONDO:0020240	syndromic retinitis pigmentosa
MONDO:0020245	disease predisposing to age-related macular degeneration
MONDO:0020256	congenital trochlear nerve palsy
MONDO:0020275	oculocutaneous or ocular albinism
MONDO:0020284	heart position anomaly
MONDO:0020285	transposition of the great arteries and conotruncal cardiac anomaly
MONDO:0020286	aortic malformation
MONDO:0020287	pulmonary artery or pulmonary branch anomaly
MONDO:0020288	atrioventricular valve anomaly
MONDO:0020293	ascending aorta anomaly
MONDO:0020294	atrial defect and interatrial communication
MONDO:0020339	X-linked complex spastic paraplegia
MONDO:0020343	alpha-crystallinopathy
MONDO:0020344	postsynaptic congenital myasthenic syndrome
MONDO:0020345	presynaptic congenital myasthenic syndrome
MONDO:0020346	synaptic congenital myasthenic syndrome
MONDO:0020372	early-onset sutural cataract
MONDO:0020375	coralliform cataract
MONDO:0020377	early-onset partial cataract
MONDO:0020392	discrete fixed membranous subaortic stenosis
MONDO:0020488	atypical progressive supranuclear palsy syndrome
MONDO:0020489	familial hyperreninemic hypoaldosteronism type 1
MONDO:0020506	ovarioleukodystrophy
MONDO:0020524	primary parathyroid hyperplasia
MONDO:0020529	ACTH-independent Cushing syndrome
MONDO:0020539	extragonadal non-dysgerminomatous germ cell tumor
MONDO:0020693	glycogen storage disease due to liver phosphorylase kinase deficiency
MONDO:0021026	genetic epidermal appendage anomaly
MONDO:0021034	genetic alopecia
MONDO:0021154	dermis disorder
MONDO:0022409	nephropathy-associated ciliopathy
MONDO:0022410	retinal ciliopathy
MONDO:0024471	non-inflammatory vasculopathy
MONDO:0025511	inherited neuroendocrine tumor
MONDO:0027749	serpinopathy
MONDO:0028226	autosomal recessive severe congenital neutropenia
MONDO:0033947	hereditary angioedema with normal C1Inh
MONDO:0034024	kyphoscoliotic Ehlers-Danlos syndrome
MONDO:0034217	resistance to thyroid hormone due to a mutation in thyroid hormone receptor beta
MONDO:0035162	PIK3CA-related overgrowth syndrome
MONDO:0035682	fibrous dysplasia/McCune-Albright syndrome
MONDO:0036192	EN1-related dorsoventral syndrome
MONDO:0043009	genetic lethal multiple congenital anomalies/dysmorphic syndrome
MONDO:0044200	T-B+ severe combined immunodeficiency
MONDO:0044201	T+ B+ severe combined immunodeficiency
MONDO:0044655	c12orf65-related combined oxidative phosphorylation defect
MONDO:0044699	SIN3A-related intellectual disability syndrome
MONDO:0100147	SATB2 associated disorder
MONDO:0100189	apolipoprotein A-I deficiency
MONDO:0100343	antenatal Bartter syndrome
MONDO:0800075	dysostosis with predominant vertebral with and without costal involvement
MONDO:0800084	primary bone dysplasia with increased bone density
MONDO:0800085	dysostosis with predominant craniofacial involvement
MONDO:0800086	primary bone dysplasia with multiple joint dislocations
MONDO:0800087	type 11 collagen-related bone disorder
MONDO:0800089	primary bone dysplasia with disorganized development of skeletal components
MONDO:0800090	ectrodactyly with and without other manifestations
MONDO:0800091	overgrowth or tall stature syndrome with skeletal involvement
MONDO:0800092	genetic inflammatory or rheumatoid-like osteoarthropathy
MONDO:0800093	dysostosis with brachydactyly without extraskeletal manifestations
MONDO:0800094	dysostosis with brachydactyly with extraskeletal manifestations
MONDO:0800095	syndrome with synostosis or other joint formation defect
